company_id,sales_volatility,sharpe_ratio,beta_proxy,max_drawdown_pct,risk_score
RELIANCE,231204.3193498461,1.0544025674227462,0.24212747721196268,-37.12,92496.65188691526
ONGC,186806.78772114334,0.32522035634080504,0.4222473303954994,-28.76,74739.4628147089
IOC,166741.7871573382,-0.20359911413961201,0.26040604039733367,-31.09,66711.45358285739
LICI,116169.28194152495,0.45080413229189004,0.021254707139684408,0.0,46467.68706662049
BPCL,97800.2870850094,0.36368571785775244,0.22140188810599937,-28.97,39132.87018604802
SBIN,92049.49222697313,0.3155336908107334,0.07457951577082451,-0.64,36821.16494741387
HDFCBANK,90262.06141101956,2.9459816567866435,0.15553288051110886,0.0,36104.98924036127
TATAMOTORS,73529.01578000977,0.11811008478219064,0.1234437274817192,-17.27,29419.13807646876
TCS,61307.82415736392,1.015233709972798,0.07803492764388856,0.0,24523.675127788476
HINDALCO,53931.1113124645,-0.1681273576449382,0.1497243981560209,-9.5,21578.457140306564
JSWSTEEL,51909.65719821214,-0.11488693567676116,0.27497868284708943,-21.57,20775.94833987748
LT,50855.71484299781,0.6267497915527254,0.06773138635043302,-6.51,20344.96681513458
TATASTEEL,50595.77771656038,0.056035841174631215,0.21048893433350085,-31.39,20251.881829469647
ICICIBANK,42570.691722484014,0.5207005770862007,0.09225025934552517,0.0,17029.60099360343
NTPC,42154.61642678941,0.3834094974959412,0.10344325945037475,-8.21,16865.99502640728
VEDL,41172.12149108815,-0.1669318509110136,6.635459997513784,-12.82,16605.570728236453
SBILIFE,41100.84024688546,1.6324062183343524,0.3214841037230225,-17.42,16450.35937461031
INFY,41095.681693566956,1.7108836634554403,0.07381817405446538,0.0,16438.038157244417
GRASIM,39609.414772118806,0.29292136018951415,0.1777006533695324,-11.59,15850.504000554725
BAJAJFINSV,38746.15115178439,1.4905007399791113,0.3041626556157077,-25.23,15510.622213086092
