company_id,year,ROE,EPS,OPM,Performance_Score
HAL,2021,2249.31,48.0,23.0,921.024
CHOLAFIN,2022,18.3,26.0,2924.0,892.3199999999999
BAJFINANCE,2017,19.13,33.0,2867.0,877.652
CIPLA,2018,9.96,18.0,2826.0,857.184
HAL,2020,2059.42,42.0,23.0,843.268
HAL,2017,1966.92,36.0,18.0,802.968
ICICIGI,2024,15.72,39.0,2577.0,791.088
CIPLA,2017,8.25,13.0,2496.0,756.0
CIPLA,2016,12.01,17.0,2480.0,753.904
HAL,2019,1763.91,35.0,23.0,722.964
AXISBANK,2014,16.19,26.0,2307.0,706.376
CIPLA,2013,17.13,19.0,2214.0,676.752
CIPLA,2015,11.38,15.0,2163.0,657.952
CIPLA,2014,13.97,17.0,2147.0,654.788
INDUSINDBK,2023,13.53,95.0,2067.0,654.0120000000001
CHOLAFIN,2021,15.84,19.0,2094.0,640.2359999999999
ICICIGI,2021,19.38,32.0,2072.0,638.952
HAL,2018,1528.46,30.0,19.0,626.0840000000001
BAJFINANCE,2016,17.22,24.0,1986.0,609.8879999999999
CHOLAFIN,2019,19.28,15.0,1888.0,578.612
ICICIPRULI,2016,31.0,12.0,1842.0,568.6
ICICIPRULI,2017,26.26,12.0,1806.0,555.904
ICICIGI,2020,19.47,26.0,1772.0,547.188
ICICIPRULI,2018,24.63,11.0,1771.0,544.452
CHOLAFIN,2020,12.85,13.0,1699.0,518.74
ICICIGI,2019,19.43,23.0,1669.0,515.372
ICICIPRULI,2015,31.15,11.0,1655.0,512.26
ICICIPRULI,2014,35.61,11.0,1504.0,468.74399999999997
CHOLAFIN,2018,17.91,12.0,1451.0,446.064
BAJFINANCE,2015,18.71,18.0,1367.0,422.984
AXISBANK,2013,15.62,22.0,1353.0,418.748
ICICIGI,2023,16.55,35.0,1264.0,396.32
HDFCLIFE,2021,15.75,7.0,1235.0,378.9
HDFCLIFE,2019,22.65,6.0,1215.0,375.36
CHOLAFIN,2017,16.71,9.0,1143.0,352.284
HDFCLIFE,2020,19.05,6.0,1141.0,351.72
NAUKRI,2022,74.71,991.0,28.0,335.584
HDFCLIFE,2018,23.53,6.0,1074.0,333.412
ICICIGI,2022,13.83,26.0,1016.0,318.132
BANKBARODA,2013,14.51,23.0,1006.0,314.504
INDUSINDBK,2018,15.13,60.0,942.0,306.652
HDFCLIFE,2017,23.18,4.0,972.0,302.07199999999995
HDFCLIFE,2016,26.33,4.0,953.0,297.63199999999995
ICICIGI,2017,18.0,16.0,919.0,287.7
BANKBARODA,2015,9.4,18.0,902.0,279.76
CHOLAFIN,2016,15.67,7.0,899.0,278.068
HDFCLIFE,2015,30.93,4.0,874.0,275.772
BOSCHLTD,2024,20.64,844.0,13.0,265.356
BANKBARODA,2014,13.31,23.0,809.0,254.92399999999998
ICICIPRULI,2013,38.25,11.0,745.0,242.1
ICICIGI,2016,15.66,11.0,764.0,238.76399999999998
HDFCLIFE,2022,8.5,6.0,778.0,238.59999999999997
BAJAJHLDNG,2024,13.58,653.0,92.0,228.932
CHOLAFIN,2015,16.6,6.0,696.0,217.23999999999998
SHREECEM,2023,12.71,664.0,17.0,209.384
SHREECEM,2021,15.18,646.0,30.0,208.87199999999999
CANBK,2013,11.9,12.0,655.0,204.86
HDFCLIFE,2014,37.6,4.0,605.0,197.74
ABB,2024,32.47,565.0,25.0,189.988
ABB,2024,32.47,565.0,25.0,189.988
BOSCHLTD,2017,19.79,570.0,19.0,184.61599999999999
CHOLAFIN,2014,16.09,5.0,578.0,181.336
BOSCHLTD,2019,17.51,542.0,18.0,175.004
LT,2013,395.15,38.0,15.0,173.96
HDFCLIFE,2013,33.43,2.0,525.0,171.472
ICICIPRULI,2019,16.58,8.0,541.0,171.332
HDFCLIFE,2024,10.73,7.0,531.0,165.69199999999998
BOSCHLTD,2016,16.06,488.0,19.0,158.524
BAJAJHLDNG,2023,11.19,436.0,73.0,157.176
BOSCHLTD,2023,12.93,483.0,13.0,153.972
SHREECEM,2024,8.37,480.0,22.0,153.948
ABB,2023,29.77,447.0,23.0,152.908
ABB,2023,29.77,447.0,23.0,152.908
CHOLAFIN,2013,15.78,4.0,472.0,149.112
BOSCHLTD,2018,13.74,449.0,18.0,145.596
SHREECEM,2020,11.72,426.0,29.0,141.188
BOSCHLTD,2015,18.21,426.0,16.0,139.88400000000001
MARUTI,2024,15.75,429.0,13.0,138.9
LT,2014,303.42,35.0,17.0,136.968
BAJAJHLDNG,2022,9.63,364.0,76.0,135.852
INDUSINDBK,2017,13.89,48.0,379.0,133.656
SHREECEM,2018,15.56,397.0,25.0,132.824
BOSCHLTD,2022,11.39,413.0,12.0,132.05599999999998
SHREECEM,2017,17.39,384.0,29.0,130.856
ABB,2022,28.33,376.0,22.0,130.732
ABB,2022,28.33,376.0,22.0,130.732
BAJAJHLDNG,2021,9.83,328.0,77.0,125.43199999999999
LTIM,2014,61.86000000000001,309.0,23.0,124.34400000000001
SHREECEM,2022,7.27,352.0,25.0,116.008
INDUSINDBK,2016,12.92,38.0,329.0,115.268
INDUSINDBK,2014,15.57,27.0,335.0,114.828
ABB,2021,26.56,325.0,21.0,114.42399999999999
ABB,2021,26.56,325.0,21.0,114.42399999999999
LT,2015,245.11,34.0,17.0,113.34400000000001
BAJAJHLDNG,2019,11.31,274.0,80.0,110.724
LT,2019,208.81,63.0,17.0,107.524
LT,2020,201.59,68.0,17.0,106.136
BAJAJHLDNG,2020,11.09,269.0,69.0,105.836
SHREECEM,2013,26.12,288.0,29.0,105.54799999999999
LT,2018,207.36,53.0,17.0,103.94400000000002
INDUSINDBK,2015,16.85,34.0,288.0,103.33999999999999
BOSCHLTD,2012,17.19,305.0,16.0,103.176
BAJAJHLDNG,2018,10.54,239.0,85.0,101.416
LT,2021,176.9,82.0,17.0,100.46
LT,2016,216.09,31.0,15.0,100.236
LT,2017,206.3,43.0,15.0,99.92000000000002
INDIGO,2022,-48.77,-160.0,558.0,99.892
BAJAJ-AUTO,2024,26.61,276.0,20.0,99.444
BAJAJ-AUTO,2024,26.61,276.0,20.0,99.444
ABB,2020,24.39,279.0,18.0,98.85600000000001
ABB,2020,24.39,279.0,18.0,98.85600000000001
SHREECEM,2019,10.5,289.0,22.0,97.5
INDUSINDBK,2013,13.91,20.0,286.0,97.364
BOSCHLTD,2013,14.06,282.0,15.0,94.72399999999999
BAJAJHLDNG,2017,13.88,222.0,75.0,94.652
BAJAJHLDNG,2016,14.81,204.0,91.0,94.42399999999999
LTIM,2015,37.96,238.0,20.0,92.58399999999999
MARUTI,2018,18.52,261.0,15.0,90.208
MARUTI,2023,11.08,274.0,11.0,89.932
IRFC,2016,7.37,188.0,99.0,89.048
ULTRACEMCO,2022,14.54,254.0,22.0,88.616
BAJAJHLDNG,2014,16.57,179.0,94.0,88.52799999999999
BAJAJHLDNG,2015,15.15,182.0,92.0,88.26
MARUTI,2017,20.26,249.0,15.0,87.304
MARUTI,2019,16.25,253.0,13.0,86.3
BAJAJHLDNG,2013,17.94,167.0,95.0,85.77600000000001
