company_id,year,return_on_equity_pct
TITAN,2019,22.88
MOTHERSON,2018,22.87
TVSMOTOR,2019,22.86
BAJAJ-AUTO,2017,22.84
BAJAJ-AUTO,2017,22.84
RECLTD,2014,22.79
SIEMENS,2011,22.75
HCLTECH,2023,22.7
HDFCLIFE,2019,22.65
PIDILITIND,2015,22.64
GODREJCP,2015,22.64
BAJAJFINSV,2019,22.64
ITC,2017,22.57
BPCL,2015,22.52
BPCL,2022,22.51
ABB,2019,22.41
ABB,2019,22.41
ABB,2012,22.41
TITAN,2020,22.39
PIDILITIND,2019,22.37
ASIANPAINT,2022,22.34
ASIANPAINT,2022,22.34
ADANIPORTS,2017,22.26
ITC,2016,22.26
ADANIPORTS,2017,22.26
PNB,2017,22.21
PNB,2017,22.21
PNB,2017,22.21
PNB,2017,22.21
PNB,2017,22.21
ITC,2021,22.18
EICHERMOT,2024,22.17
DABUR,2021,22.12
M&M,2014,22.11
PFC,2018,22.08
POWERGRID,2022,22.07
POWERGRID,2022,22.07
TVSMOTOR,2013,22.02
BPCL,2019,22.0
DABUR,2020,21.92
BHEL,2013,21.91
ITC,2018,21.89
RECLTD,2013,21.87
INFY,2016,21.85
HCLTECH,2022,21.84
JSWSTEEL,2018,21.83
ICICIGI,2014,21.72
BAJAJFINSV,2015,21.72
TECHM,2015,21.71
TECHM,2015,21.71
GODREJCP,2014,21.7
ITC,2019,21.7
SBILIFE,2014,21.69
TITAN,2018,21.65
M&M,2018,21.64
JSWSTEEL,2019,21.62
ADANIPORTS,2015,21.59
ADANIPORTS,2015,21.59
HCLTECH,2020,21.57
TORNTPHARM,2017,21.47
TORNTPHARM,2021,21.45
TATAMOTORS,2014,21.42
SUNPHARMA,2017,21.41
SUNPHARMA,2015,21.36
BAJAJFINSV,2017,21.36
ABB,2016,21.34
DIVISLAB,2021,21.34
ABB,2016,21.34
RECLTD,2015,21.31
TORNTPHARM,2020,21.25
BAJAJ-AUTO,2019,21.21
BAJAJ-AUTO,2019,21.21
HAVELLS,2015,21.18
BAJFINANCE,2023,21.17
ADANIPORTS,2016,21.15
ADANIPORTS,2016,21.15
HEROMOTOCO,2024,21.14
TECHM,2019,21.14
TECHM,2019,21.14
DMART,2016,21.04
SUNPHARMA,2014,20.94
TECHM,2022,20.94
TECHM,2022,20.94
BPCL,2014,20.85
INFY,2017,20.81
DABUR,2022,20.78
PIDILITIND,2024,20.78
TECHM,2016,20.75
TECHM,2016,20.75
M&M,2013,20.69
BAJAJ-AUTO,2018,20.66
BAJAJ-AUTO,2018,20.66
BAJAJFINSV,2022,20.66
BAJAJ-AUTO,2022,20.65
BAJAJ-AUTO,2022,20.65
BAJAJ-AUTO,2023,20.64
BAJAJ-AUTO,2023,20.64
BOSCHLTD,2024,20.64
BAJAJFINSV,2021,20.56
BAJAJFINSV,2016,20.41
RECLTD,2024,20.4
