company_id,sales_volatility,sharpe_ratio,beta_proxy,max_drawdown_pct,risk_score
BAJAJHLDNG,477.3301684825607,0.9982462306834494,0.6934191103281809,-50.12,218.83820336890443
NAUKRI,748.6602306959019,-0.5208556715382862,0.16825730203573402,-14.02,307.55609399061376
UNITDSPR,1134.953557165701,0.3257815730792482,0.09409367107929835,-22.62,462.32351471478717
NHPC,1175.4312956397034,0.17532110553645242,0.09831973395206735,-10.07,474.9845918293863
IRCTC,1280.6080019059127,0.5200184806664225,0.5510291453760784,-65.68,542.4477651892201
JSWENERGY,1338.7564264012963,0.31735754807009164,0.13298934632954387,-29.54,546.7069999390393
DLF,1333.621625884059,0.11005715258731592,0.17522755474706952,-45.46,550.4811442959777
ABB,1443.650891814187,1.7219533128825937,0.09211112183662538,0.0,577.5806258495247
ATGL,1444.853520751696,0.797189202734336,0.30314540023856984,-9.55,586.0721271027155
DABUR,2090.336183242868,0.9143874816875478,0.058183821612975355,-2.32,837.0797622477194
DIVISLAB,2380.3098887889923,0.4624006595191264,0.13771543433242092,-13.31,958.4088635427263
GODREJCP,2485.994641783115,-0.08150708935082729,0.05881199509529609,-3.91,996.8286037045028
TORNTPHARM,2478.0188944044876,0.42564422203415925,0.1554193608658538,-13.03,997.799300757078
JIOFIN,1079.1044126187853,0.7071414898252927,28.398331658467317,0.0,998.9012567270353
BOSCHLTD,2834.6834784640287,0.31587841826565144,0.16808798385844725,-19.73,1142.838272644515
PIDILITIND,3158.2312601055182,0.8767944239522635,0.09843001996100184,-0.01,1264.387310017475
TATACONSUM,3478.0538656420617,-0.28875344028045646,0.11795226606846072,-16.96,1398.9573450184744
LODHA,3471.5057344187935,0.33078159683101027,0.4067714978381493,-56.21,1413.2699421274494
ADANIGREEN,3693.5936092104125,0.21396962014376303,0.5939236030989469,0.0,1489.1019461260003
EICHERMOT,3702.8873280323514,0.725728483997816,0.1847111800029594,-29.35,1492.9284263290021
BRITANNIA,3810.639859790694,0.8069881807114289,0.0419911689111352,0.0,1524.2887791137891
SIEMENS,3877.522626587364,0.40928433659138563,0.16180369839822836,-23.98,1561.0298402663188
HEROMOTOCO,4356.399155961331,0.4311965656752717,0.08376741859369405,-13.89,1747.9708141907313
TRENT,4380.069637076678,0.029580191750393798,0.34178799199687865,-27.73,1767.1530344788584
ZYDUSLIFE,4692.625047170648,0.5340597372635784,0.07603748153013433,-0.54,1878.1987087615985
HAVELLS,4757.283742070058,0.2945513541908899,0.16343147063234362,-27.61,1914.170574886479
NESTLEIND,5005.822536729681,0.4554406222691872,0.12962212904369588,-18.89,2010.1330166504772
BEL,5247.092994929278,1.1931773866480238,0.056584196695717036,0.0,2098.7757045189774
SHREECEM,5430.985671033791,0.2802310348989769,0.17123545895748313,-11.9,2179.1087465577675
VBL,5577.73261189021,-0.11541692936728425,0.163236683051495,-9.54,2237.335195346481
